encoder,dataset,class_idx,class_name,probe_acc,prototype_acc,gap_pp
resnet18,FGVC-Aircraft,34,ATR-42,39.4,18.2,21.2
resnet18,FGVC-Aircraft,67,EMB-120,33.3,12.1,21.199999999999996
dinov2,FGVC-Aircraft,95,Spitfire,91.2,70.6,20.60000000000001
resnet18,FGVC-Aircraft,23,A318,44.1,23.5,20.6
dinov2,FGVC-Aircraft,38,BAE 146-300,55.9,35.3,20.6
resnet18,FGVC-Aircraft,80,Gulfstream IV,32.4,11.8,20.599999999999998
dinov2,FGVC-Aircraft,59,DHC-6,94.1,73.5,20.599999999999994
dinov2,FGVC-Aircraft,62,DR-400,94.1,73.5,20.599999999999994
resnet18,DTD,41,swirly,62.5,42.5,20.0
resnet18,DTD,19,interlaced,70.0,50.0,20.0
dinov2,FGVC-Aircraft,48,Cessna 208,90.9,72.7,18.200000000000003
dinov2,FGVC-Aircraft,58,DHC-1,100.0,81.8,18.200000000000003
resnet18,FGVC-Aircraft,16,767-200,27.3,9.1,18.200000000000003
resnet18,FGVC-Aircraft,63,Dornier 328,48.5,30.3,18.2
resnet18,FGVC-Aircraft,60,DHC-8-100,45.5,27.3,18.2
resnet18,FGVC-Aircraft,6,737-600,39.4,21.2,18.2
resnet18,FGVC-Aircraft,78,Fokker 70,48.5,30.3,18.2
dinov2,FGVC-Aircraft,75,Falcon 900,78.8,60.6,18.199999999999996
resnet18,FGVC-Aircraft,96,Tornado,78.8,60.6,18.199999999999996
dinov2,FGVC-Aircraft,90,Model B200,93.9,75.8,18.10000000000001
resnet18,FGVC-Aircraft,20,777-300,20.6,2.9,17.700000000000003
dinov2,FGVC-Aircraft,56,DC-9-30,58.8,41.2,17.599999999999994
resnet18,DTD,2,braided,62.5,45.0,17.5
resnet18,DTD,36,sprinkled,70.0,52.5,17.5
resnet18,DTD,45,wrinkled,72.5,55.0,17.5
resnet18,DTD,14,frilly,72.5,55.0,17.5
resnet18,DTD,11,fibrous,77.5,60.0,17.5
resnet18,FGVC-Aircraft,82,Hawk T1,87.9,72.7,15.200000000000003
resnet18,FGVC-Aircraft,90,Model B200,48.5,33.3,15.200000000000003
resnet18,FGVC-Aircraft,22,A310,15.2,0.0,15.2
dinov2,FGVC-Aircraft,88,MD-90,36.4,21.2,15.2
resnet18,FGVC-Aircraft,21,A300B4,15.2,0.0,15.2
resnet18,FGVC-Aircraft,70,Embraer Legacy 600,54.5,39.4,15.100000000000001
resnet18,DTD,0,banded,75.0,60.0,15.0
resnet18,DTD,28,pitted,42.5,27.5,15.0
resnet18,FGVC-Aircraft,59,DHC-6,64.7,50.0,14.700000000000003
resnet18,FGVC-Aircraft,98,Tu-154,29.4,14.7,14.7
resnet18,DTD,30,polka-dotted,57.5,45.0,12.5
resnet18,DTD,13,freckled,75.0,62.5,12.5
resnet18,FGVC-Aircraft,49,Cessna 525,45.5,33.3,12.200000000000003
dinov2,FGVC-Aircraft,87,MD-87,45.5,33.3,12.200000000000003
dinov2,FGVC-Aircraft,96,Tornado,97.0,84.8,12.200000000000003
dinov2,FGVC-Aircraft,54,DC-6,90.9,78.8,12.100000000000009
resnet18,FGVC-Aircraft,69,ERJ 145,27.3,15.2,12.100000000000001
resnet18,FGVC-Aircraft,48,Cessna 208,54.5,42.4,12.100000000000001
resnet18,FGVC-Aircraft,84,L-1011,33.3,21.2,12.099999999999998
resnet18,FGVC-Aircraft,95,Spitfire,82.4,70.6,11.800000000000011
resnet18,FGVC-Aircraft,65,E-190,20.6,8.8,11.8
resnet18,FGVC-Aircraft,50,Cessna 560,52.9,41.2,11.699999999999996
resnet18,DTD,42,veined,72.5,62.5,10.0
resnet18,DTD,16,grid,50.0,40.0,10.0
resnet18,DTD,22,lined,47.5,37.5,10.0
resnet18,DTD,23,marbled,45.0,35.0,10.0
resnet18,FGVC-Aircraft,61,DHC-8-300,27.3,18.2,9.100000000000001
resnet18,FGVC-Aircraft,18,767-400,45.5,36.4,9.100000000000001
resnet18,FGVC-Aircraft,66,E-195,42.4,33.3,9.100000000000001
dinov2,FGVC-Aircraft,84,L-1011,42.4,33.3,9.100000000000001
resnet18,FGVC-Aircraft,75,Falcon 900,51.5,42.4,9.100000000000001
dinov2,FGVC-Aircraft,37,BAE 146-200,66.7,57.6,9.100000000000001
resnet18,FGVC-Aircraft,85,MD-11,9.1,0.0,9.1
resnet18,FGVC-Aircraft,10,747-100,9.1,0.0,9.1
resnet18,FGVC-Aircraft,28,A330-300,15.2,6.1,9.1
resnet18,FGVC-Aircraft,35,ATR-72,41.2,32.4,8.800000000000004
resnet18,FGVC-Aircraft,41,Boeing 717,20.6,11.8,8.8
resnet18,FGVC-Aircraft,47,Cessna 172,70.6,61.8,8.799999999999997
resnet18,FGVC-Aircraft,53,DC-3,29.4,20.6,8.799999999999997
