config,encoder,dataset,seed,lr,displacement_weight,velocity_weight,baseline_acc,test_acc,delta_pp,best_val_acc,best_epoch,final_train_loss,mean_displacement,relative_displacement,n_params,elapsed_s
lr=0.0001,resnet18,FGVC-Aircraft,2,0.0001,0.0,0.0,0.2760275900363922,0.28232821822166443,0.6300628185272217,0.28232821822166443,16,2.7239426344749518e-05,3.491755723953247,0.12093725390145772,788480,22.92789259995334
lr=1e-05,resnet18,DTD,0,1e-05,0.0,0.0,0.5117021203041077,0.5143616795539856,0.26595592498779297,0.5117021203041077,33,0.15096136927604675,0.6960744857788086,0.029309267957175502,788480,11.446754399919882
lr=1e-05,resnet18,DTD,1,1e-05,0.0,0.0,0.5159574151039124,0.5170212388038635,0.10638236999511719,0.5143616795539856,0,0.044953353703022,0.010804847814142704,0.00045495444279485133,788480,11.458822199958377
lr=1e-05,resnet18,DTD,2,1e-05,0.0,0.0,0.5335106253623962,0.5393616557121277,0.5851030349731445,0.5265957117080688,81,0.03605454042553902,1.8104556798934937,0.07623197190918246,788480,11.43253599992022
lr=1e-05,dinov2,FGVC-Aircraft,0,1e-05,0.0,0.0,0.5319531559944153,0.5481547713279724,1.620161533355713,0.543354332447052,196,0.0008559376001358032,11.496514320373535,0.23145331320269924,657280,22.702034099958837
lr=1e-05,dinov2,FGVC-Aircraft,1,1e-05,0.0,0.0,0.5160515904426575,0.537953794002533,2.190220355987549,0.544854462146759,194,0.0010810414096340537,13.651579856872559,0.27484012112479345,657280,22.242535199970007
lr=1e-05,dinov2,FGVC-Aircraft,2,1e-05,0.0,0.0,0.498049795627594,0.5262526273727417,2.8202831745147705,0.5328532457351685,193,0.0010717775439843535,13.030365943908691,0.26233354614421023,657280,22.13405930006411
lr=1e-05,resnet18,FGVC-Aircraft,0,1e-05,0.0,0.0,0.2670266926288605,0.28262823820114136,1.5601545572280884,0.27542752027511597,155,0.006596776656806469,5.5960235595703125,0.1938187478063559,788480,23.13938949990552
lr=1e-05,resnet18,FGVC-Aircraft,1,1e-05,0.0,0.0,0.2931292951107025,0.29942992329597473,0.6300628185272217,0.2928292751312256,194,0.011404081247746944,7.101587772369385,0.2459640912561223,788480,22.466237799962983
lr=1e-05,resnet18,FGVC-Aircraft,2,1e-05,0.0,0.0,0.2760275900363922,0.2868286669254303,1.0801076889038086,0.280828058719635,130,0.009909744374454021,4.669485569000244,0.1617280263832501,788480,22.291122799972072
disp=0.001,resnet18,DTD,0,0.001,0.001,0.0,0.5117021203041077,0.5196808576583862,0.7978737354278564,0.5196808576583862,179,0.0334247462451458,2.509605646133423,0.10567073761806939,788480,12.175722300074995
disp=0.001,resnet18,DTD,1,0.001,0.001,0.0,0.5159574151039124,0.5223404169082642,0.6383001804351807,0.5234042406082153,125,0.012100659310817719,1.6970208883285522,0.07145562861608881,788480,12.928997299983166
disp=0.001,resnet18,DTD,2,0.001,0.001,0.0,0.5335106253623962,0.5367020964622498,0.31914710998535156,0.5292553305625916,81,0.013368445448577404,1.735914707183838,0.07309331162559027,788480,12.018069599987939
disp=0.001,dinov2,FGVC-Aircraft,0,0.001,0.001,0.0,0.5319531559944153,0.5310530662536621,-0.09000897407531738,0.5319531559944153,48,0.0017676273128017783,0.6230502128601074,0.012543544246499352,657280,24.04050769994501
disp=0.001,dinov2,FGVC-Aircraft,1,0.001,0.001,0.0,0.5160515904426575,0.5217521786689758,0.5700588226318359,0.5364536046981812,69,0.0021117182914167643,0.6594699025154114,0.013276762820549744,657280,23.534488399978727
disp=0.001,dinov2,FGVC-Aircraft,2,0.001,0.001,0.0,0.498049795627594,0.5052505135536194,0.7200717926025391,0.5175517201423645,163,0.001994919264689088,0.5386067628860474,0.01084348840956394,657280,23.92396390007343
disp=0.001,resnet18,FGVC-Aircraft,0,0.001,0.001,0.0,0.2670266926288605,0.279327929019928,1.2301236391067505,0.27632761001586914,66,0.001821837853640318,1.169820785522461,0.04051684153831915,788480,24.145776999997906
disp=0.001,resnet18,FGVC-Aircraft,1,0.001,0.001,0.0,0.2931292951107025,0.300029993057251,0.6900697946548462,0.29492947459220886,87,0.002449321560561657,1.3560371398925781,0.046966460672490926,788480,25.122547899954952
disp=0.001,resnet18,FGVC-Aircraft,2,0.001,0.001,0.0,0.2760275900363922,0.290429025888443,1.4401435852050781,0.2859285771846771,147,0.002385081723332405,1.140989899635315,0.03951828137478338,788480,23.735060599981807
disp=0.01,resnet18,DTD,0,0.001,0.01,0.0,0.5117021203041077,0.5255318880081177,1.382976770401001,0.5186170339584351,114,0.13681329786777496,1.716645359992981,0.07228194664710699,788480,12.076471899985336
disp=0.01,resnet18,DTD,1,0.001,0.01,0.0,0.5159574151039124,0.5234042406082153,0.7446825504302979,0.5164893269538879,19,0.04610206559300423,1.185742974281311,0.04992749952997522,788480,12.2591654000571
disp=0.01,resnet18,DTD,2,0.001,0.01,0.0,0.5335106253623962,0.5388297438621521,0.5319118499755859,0.5329787135124207,184,0.05031641945242882,0.9545488357543945,0.04019272100461062,788480,13.183502500061877
disp=0.01,dinov2,FGVC-Aircraft,0,0.001,0.01,0.0,0.5319531559944153,0.5322532057762146,0.03000497817993164,0.5265526175498962,51,0.003491691080853343,0.18952658772468567,0.003815639718826989,657280,23.66516189998947
disp=0.01,dinov2,FGVC-Aircraft,1,0.001,0.01,0.0,0.5160515904426575,0.5175517201423645,0.15001296997070312,0.5307530760765076,189,0.004288105759769678,0.15456077456474304,0.0031116912802682385,657280,23.73386030003894
disp=0.01,dinov2,FGVC-Aircraft,2,0.001,0.01,0.0,0.498049795627594,0.503450334072113,0.5400538444519043,0.5115511417388916,194,0.0040548150427639484,0.1418539434671402,0.0028558712920623078,657280,24.258290100027807
disp=0.01,resnet18,FGVC-Aircraft,0,0.001,0.01,0.0,0.2670266926288605,0.27632761001586914,0.9300917387008667,0.27272725105285645,184,0.006236941087990999,0.458895206451416,0.015893874166530857,788480,23.577914799912833
disp=0.01,resnet18,FGVC-Aircraft,1,0.001,0.01,0.0,0.2931292951107025,0.2970297038555145,0.39004087448120117,0.29582956433296204,191,0.008851861581206322,0.5558035373687744,0.01925030237853942,788480,23.711270699976012
disp=0.01,resnet18,FGVC-Aircraft,2,0.001,0.01,0.0,0.2760275900363922,0.28652864694595337,1.0501056909561157,0.28652864694595337,135,0.008585252799093723,0.5606367588043213,0.019417701410465664,788480,24.87199989997316
disp=0.1,resnet18,DTD,0,0.001,0.1,0.0,0.5117021203041077,0.5202127695083618,0.851064920425415,0.5117021203041077,126,0.3800450563430786,0.6697368621826172,0.028200282520836294,788480,12.321078000008129
disp=0.1,resnet18,DTD,1,0.001,0.1,0.0,0.5159574151039124,0.5228723287582397,0.6914913654327393,0.5159574151039124,177,0.11704429239034653,0.35595136880874634,0.01498787020826696,788480,12.046103999949992
disp=0.1,resnet18,DTD,2,0.001,0.1,0.0,0.5335106253623962,0.5345744490623474,0.10638236999511719,0.5297872424125671,92,0.12400475144386292,0.379353404045105,0.01597324826118938,788480,12.065826599951833
disp=0.1,dinov2,FGVC-Aircraft,0,0.001,0.1,0.0,0.5319531559944153,0.5319531559944153,0.0,0.5250524878501892,2,0.004356746096163988,0.053609009832143784,0.0010792821717428703,657280,24.371206000098027
disp=0.1,dinov2,FGVC-Aircraft,1,0.001,0.1,0.0,0.5160515904426575,0.5157515406608582,-0.03000497817993164,0.5298529863357544,15,0.005445641465485096,0.026563582941889763,0.0005347907297031338,657280,23.283030699938536
disp=0.1,dinov2,FGVC-Aircraft,2,0.001,0.1,0.0,0.498049795627594,0.4983498156070709,0.03000199794769287,0.5088508725166321,39,0.005100451875478029,0.03931891918182373,0.0007915872465843701,657280,23.292872000019997
disp=0.1,resnet18,FGVC-Aircraft,0,0.001,0.1,0.0,0.2670266926288605,0.26972696185112,0.27002692222595215,0.2673267126083374,174,0.014394405297935009,0.17096813023090363,0.005921495605478137,788480,24.42177539994009
disp=0.1,resnet18,FGVC-Aircraft,1,0.001,0.1,0.0,0.2931292951107025,0.2967296540737152,0.36003589630126953,0.29102909564971924,137,0.02181212045252323,0.2232600599527359,0.007732631000312271,788480,23.55840179999359
disp=0.1,resnet18,FGVC-Aircraft,2,0.001,0.1,0.0,0.2760275900363922,0.279327929019928,0.33003389835357666,0.279327929019928,185,0.0206501092761755,0.21152253448963165,0.007326100816265161,788480,23.637240200070664
vel=0.001,resnet18,DTD,0,0.001,0.0,0.001,0.5117021203041077,0.5265957117080688,1.4893591403961182,0.5223404169082642,184,0.032633084803819656,2.5258278846740723,0.1063537994828081,788480,13.915483500109985
vel=0.001,resnet18,DTD,1,0.001,0.0,0.001,0.5159574151039124,0.5180850625038147,0.21276473999023438,0.5207446813583374,145,0.012117830105125904,1.7442777156829834,0.07344544873453104,788480,13.353150899987668
vel=0.001,resnet18,DTD,2,0.001,0.0,0.001,0.5335106253623962,0.5367020964622498,0.31914710998535156,0.5271276235580444,54,0.013368820771574974,1.9234943389892578,0.0809916354461252,788480,12.866933700046502
vel=0.001,dinov2,FGVC-Aircraft,0,0.001,0.0,0.001,0.5319531559944153,0.5310530662536621,-0.09000897407531738,0.5319531559944153,48,0.0017651503439992666,0.6227759718894958,0.012538023096392882,657280,25.503282999969088
vel=0.001,dinov2,FGVC-Aircraft,1,0.001,0.0,0.001,0.5160515904426575,0.5214521288871765,0.5400538444519043,0.5364536046981812,69,0.0020908319856971502,0.6589341759681702,0.013265977318016172,657280,26.493713299976662
vel=0.001,dinov2,FGVC-Aircraft,2,0.001,0.0,0.001,0.498049795627594,0.5082508325576782,1.0201036930084229,0.5184518098831177,130,0.0020051372703164816,0.5657315850257874,0.011389578274659048,657280,25.454898399999365
vel=0.001,resnet18,FGVC-Aircraft,0,0.001,0.0,0.001,0.2670266926288605,0.27902787923812866,1.2001186609268188,0.27662765979766846,96,0.0018319983500987291,1.0903682708740234,0.037764996994546586,788480,26.114882900030352
vel=0.001,resnet18,FGVC-Aircraft,1,0.001,0.0,0.001,0.2931292951107025,0.30603060126304626,1.290130615234375,0.2952295243740082,140,0.002464644843712449,1.1876728534698486,0.04113514941684823,788480,25.907042399980128
vel=0.001,resnet18,FGVC-Aircraft,2,0.001,0.0,0.001,0.2760275900363922,0.28652864694595337,1.0501056909561157,0.2853285074234009,47,0.0024060532450675964,1.440065860748291,0.04987680250408869,788480,25.650274500017986
vel=0.01,resnet18,DTD,0,0.001,0.0,0.01,0.5117021203041077,0.5234042406082153,1.1702120304107666,0.5207446813583374,162,0.13632424175739288,1.5433621406555176,0.06498559487469392,788480,13.865709899924695
vel=0.01,resnet18,DTD,1,0.001,0.0,0.01,0.5159574151039124,0.5218085050582886,0.5851089954376221,0.5164893269538879,15,0.04597456753253937,1.2578425407409668,0.052963360714569384,788480,13.786194400046952
vel=0.01,resnet18,DTD,2,0.001,0.0,0.01,0.5335106253623962,0.5372340083122253,0.37233829498291016,0.5324468016624451,137,0.05032787472009659,0.9658502340316772,0.0406685834549187,788480,13.17250200000126
vel=0.01,dinov2,FGVC-Aircraft,0,0.001,0.0,0.01,0.5319531559944153,0.5310530662536621,-0.09000897407531738,0.5274527072906494,157,0.0034896028228104115,0.13847848773002625,0.002787915006169672,657280,25.940211699926294
vel=0.01,dinov2,FGVC-Aircraft,1,0.001,0.0,0.01,0.5160515904426575,0.5181518197059631,0.2100229263305664,0.5301529765129089,113,0.004257895052433014,0.1786816269159317,0.0035973037918850936,657280,26.256717700045556
vel=0.01,dinov2,FGVC-Aircraft,2,0.001,0.0,0.01,0.498049795627594,0.5022501945495605,0.4200398921966553,0.5109511017799377,32,0.004019279032945633,0.21785403788089752,0.004385941465124168,657280,25.906380399945192
vel=0.01,resnet18,FGVC-Aircraft,0,0.001,0.0,0.01,0.2670266926288605,0.2757275700569153,0.870087742805481,0.2724272310733795,153,0.006257095839828253,0.46022462844848633,0.01593991880948768,788480,26.656652500038035
vel=0.01,resnet18,FGVC-Aircraft,1,0.001,0.0,0.01,0.2931292951107025,0.2976297438144684,0.4500448703765869,0.2964296340942383,191,0.008897176943719387,0.5468787550926208,0.01894119179192472,788480,25.95215210004244
vel=0.01,resnet18,FGVC-Aircraft,2,0.001,0.0,0.01,0.2760275900363922,0.28622859716415405,1.020100712776184,0.28652864694595337,102,0.008582557551562786,0.5751416087150574,0.019920078110079464,788480,25.79845080000814
vel=0.1,resnet18,DTD,0,0.001,0.0,0.1,0.5117021203041077,0.5207446813583374,0.9042561054229736,0.5106382966041565,18,0.3781677186489105,0.787284791469574,0.033149815692459145,788480,14.055908699985594
vel=0.1,resnet18,DTD,1,0.001,0.0,0.1,0.5159574151039124,0.5234042406082153,0.7446825504302979,0.51382976770401,77,0.1165955439209938,0.40943390130996704,0.017239833048641403,788480,14.157426299992949
vel=0.1,resnet18,DTD,2,0.001,0.0,0.1,0.5335106253623962,0.5361701846122742,0.26595592498779297,0.5292553305625916,28,0.1246805489063263,0.4129961133003235,0.017389825366818105,788480,13.544800400035456
vel=0.1,dinov2,FGVC-Aircraft,0,0.001,0.0,0.1,0.5319531559944153,0.5319531559944153,0.0,0.5250524878501892,2,0.004357870668172836,0.053615402430295944,0.0010794108705798448,657280,26.045365400030278
vel=0.1,dinov2,FGVC-Aircraft,1,0.001,0.0,0.1,0.5160515904426575,0.5157515406608582,-0.03000497817993164,0.5298529863357544,15,0.00544721307232976,0.02655748650431633,0.0005346679933122781,657280,26.07954020006582
vel=0.1,dinov2,FGVC-Aircraft,2,0.001,0.0,0.1,0.498049795627594,0.4983498156070709,0.03000199794769287,0.5088508725166321,39,0.005102470051497221,0.03930404782295227,0.0007912878492899636,657280,26.41138659999706
vel=0.1,resnet18,FGVC-Aircraft,0,0.001,0.0,0.1,0.2670266926288605,0.2700269818305969,0.300028920173645,0.26792678236961365,130,0.01448607537895441,0.17244812846183777,0.005972755468990452,788480,26.68029209994711
vel=0.1,resnet18,FGVC-Aircraft,1,0.001,0.0,0.1,0.2931292951107025,0.2955295443534851,0.24002492427825928,0.29132911562919617,151,0.02177760936319828,0.22145907580852509,0.0076702537626301545,788480,26.284939299919643
vel=0.1,resnet18,FGVC-Aircraft,2,0.001,0.0,0.1,0.2760275900363922,0.2805280387401581,0.4500448703765869,0.2796279489994049,151,0.020656149834394455,0.2128935158252716,0.0073735848704173605,788480,25.8847708000103
