config,encoder,dataset,seed,use_flow,flow_lr,classifier_lr,unfreeze_epoch,baseline_acc,test_acc,delta_pp,best_val_acc,best_epoch,classifier_drift,relative_displacement,elapsed_s
clf_lr=1e-3,resnet18,DTD,2,True,0.0001,0.001,0,0.5335106253623962,0.5345744490623474,0.10638236999511719,0.5239361524581909,5,0.21384544670581818,0.007237802590754136,12.932117899996229
clf_lr=1e-3,dinov2,FGVC-Aircraft,0,True,0.0001,0.001,0,0.5319531559944153,0.5490548610687256,1.7101705074310303,0.5553554892539978,155,0.29782572388648987,0.5157934700775696,24.547932100016624
clf_lr=1e-3,dinov2,FGVC-Aircraft,1,True,0.0001,0.001,0,0.5160515904426575,0.5463545918464661,3.0303001403808594,0.5520551800727844,110,0.2897114157676697,0.4905253080208965,24.60526330000721
clf_lr=1e-3,dinov2,FGVC-Aircraft,2,True,0.0001,0.001,0,0.498049795627594,0.5295529365539551,3.1503140926361084,0.5406540632247925,56,0.2548387050628662,0.32826838070429726,24.624518499942496
clf_lr=1e-3,resnet18,FGVC-Aircraft,0,True,0.0001,0.001,0,0.2670266926288605,0.2871286869049072,2.0101994276046753,0.2784278392791748,39,0.19238725304603577,0.2629221614980509,25.4082025999669
clf_lr=1e-3,resnet18,FGVC-Aircraft,1,True,0.0001,0.001,0,0.2931292951107025,0.2916291654109955,-0.15001296997070312,0.2955295443534851,25,0.18601594865322113,0.1589049183407836,25.528009000001475
clf_lr=1e-3,resnet18,FGVC-Aircraft,2,True,0.0001,0.001,0,0.2760275900363922,0.28262823820114136,0.6600648164749146,0.2832283079624176,19,0.161570206284523,0.11310423932433153,25.46579930000007
delayed=50,resnet18,DTD,0,True,0.0001,0.0001,50,0.5117021203041077,0.5106382966041565,-0.10638236999511719,0.5117021203041077,4,0.0,0.022572995592247694,12.848950000014156
delayed=50,resnet18,DTD,1,True,0.0001,0.0001,50,0.5159574151039124,0.5202127695083618,0.4255354404449463,0.5164893269538879,8,0.0,0.051898752565058374,12.804945899988525
delayed=50,resnet18,DTD,2,True,0.0001,0.0001,50,0.5335106253623962,0.5335106253623962,0.0,0.5244680643081665,0,0.0,0.002847130659803167,12.904081999906339
delayed=50,dinov2,FGVC-Aircraft,0,True,0.0001,0.0001,50,0.5319531559944153,0.5457545518875122,1.3801395893096924,0.5550554990768433,66,0.036950211971998215,0.6458100487437515,24.29946759995073
delayed=50,dinov2,FGVC-Aircraft,1,True,0.0001,0.0001,50,0.5160515904426575,0.5469546914100647,3.0903100967407227,0.5526552200317383,46,0.0,0.5767805669493726,24.222793099936098
delayed=50,dinov2,FGVC-Aircraft,2,True,0.0001,0.0001,50,0.498049795627594,0.5283527970314026,3.0303001403808594,0.5382537841796875,33,0.0,0.4029325891787781,24.351354200043716
delayed=50,resnet18,FGVC-Aircraft,0,True,0.0001,0.0001,50,0.2670266926288605,0.28982898592948914,2.280229330062866,0.28142812848091125,35,0.0,0.331450149275147,25.02138609997928
delayed=50,resnet18,FGVC-Aircraft,1,True,0.0001,0.0001,50,0.2931292951107025,0.2970297038555145,0.39004087448120117,0.2964296340942383,19,0.0,0.16241785374754839,25.153236499987543
delayed=50,resnet18,FGVC-Aircraft,2,True,0.0001,0.0001,50,0.2760275900363922,0.28232821822166443,0.6300628185272217,0.28232821822166443,16,0.0,0.12093725390145772,25.40640950005036
